,avg_positive,avg_negative,avg_neutral,avg_confident,avg_hesitant,avg_concise,avg_enthusiastic,avg_speech_speed,dominant_emotion_top1,dominant_emotion_top2,movie_id_,gaze_score,blink_sum,eye_offset_mean,eye_offset_max,eye_offset_min,eye_offset_std,image_seq_count
1,0.7091990717583232,0.14121446587766207,0.14958644482410613,0.7338280114862654,0.48517246502969,0.4294184264209535,0.4664969394604365,3.1137708427658684,neutral,fear,93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,0.625,0.0,15.8013625,65.0276,-33.4655,17.85851658679302,88
2,0.7220063585984079,0.10754075408668105,0.17045287381073357,0.6848793406235544,0.4361581853713448,0.4842210235564332,0.5166850976253811,3.269092112382821,happy,neutral,baa26895-85b2-465b-a972-649b41d9870e,0.6091954022988506,4.597701149425287,21.768545977011495,67.671,-15.2405,15.61943543735864,87
3,0.5672568549135966,0.264336792452793,0.1684063442018149,0.5735661341584221,0.6040042642187993,0.394715019618161,0.4480499406511496,3.385636473178966,neutral,fear,d0b9170b-98b9-48e1-a1b2-1d661bb0d853,0.45,7.000000000000001,30.137213000000003,91.2347,-4.008,18.90940128737558,100
4,0.6557482818239614,0.16914161284895315,0.1751101118953604,0.6217401878614175,0.570451667042155,0.40347860596681895,0.44062600392652185,2.775454072985372,neutral,fear,6b0386fc-41de-4196-b0d6-3d0b815c2dbc,0.7878787878787878,21.21212121212121,12.492481818181817,77.7629,-7.9509,20.41982214051529,99
5,0.6305727349484668,0.18701292831888972,0.18241432878900973,0.5900939799406949,0.4614878597066683,0.4136444577837692,0.3781099378076546,2.8173408196402616,neutral,neutral,9c350343-e895-49df-af90-d50b91d19d3e,1.0,25.0,-15.802625,-8.4059,-22.602,5.8494389630544905,4
6,0.7111822979317771,0.13899151585064823,0.14982619529796967,0.6797547514239947,0.49025227289853823,0.36779167668686974,0.48143330671721035,2.583163463330654,neutral,neutral,92016995-e455-4651-9f6e-fbca0d423f21,1.0,0.0,-1.7071928571428572,-1.1633,-2.1463,0.3221014232631267,14
7,0.7173539033302894,0.14023231206318504,0.14241377980663225,0.7037138847204355,0.45706970875079816,0.39857050661857313,0.463939521748286,2.2848971482729263,fear,sad,6539370c-256e-4ed2-9d00-1be1f051163f,0.7816091954022989,21.839080459770116,9.456551724137931,89.7745,-35.8043,25.45353335491888,87
8,0.6054021334275603,0.19229178945533926,0.202306084218435,0.5550108067691326,0.5076223281212151,0.3520109415985644,0.4373992783948779,2.9029526215428083,neutral,fear,813af424-a584-4417-b7ee-0d4c705e83c9,0.946236559139785,3.225806451612903,6.564639784946236,69.9832,-15.0501,11.37337341802774,93
9,0.6173526421189308,0.22394872048041886,0.1586986544748975,0.5918420598738723,0.5387317020859983,0.3818086412631803,0.5051519371983078,3.3299382716049384,neutral,happy,dfb0d746-609f-4dac-8e1d-c0325fb64394,0.9651162790697675,2.3255813953488373,8.58628953488372,37.4006,-17.5304,9.477503575359282,86
10,0.5892669001922888,0.22094799068701618,0.18978509843787728,0.6198522983228459,0.5206366580198792,0.3856552571934812,0.32550737656214657,3.2485176794320747,sad,fear,83c20b83-7881-499d-a40d-cc06b65869f8,0.7333333333333333,16.666666666666664,11.49859,56.9147,-24.9696,17.923357707895576,90
